,Word,Spam_prob,Ham_prob
0,Supply,0,0
1,Quality,0,0
2,China's,0,0
3,EXCLUSIVE,0,0
4,dimensions,0,0
5,at,0,0
6,Unbeatable,0,0
7,Price.Dear,0,0
8,Sir,0,0
9,We,0,0
10,are,0,0
11,pleased,0,0
12,to,0,0
13,inform,0,0
14,you,0,0
15,as,0,0
16,one,0,0
17,of,0,0
19,largest,0,0
20,export,0,0
21,&,0,0
22,import,0,0
23,sto=ne,0,0
24,company-Wanlistone,0,0
25,Group,0,0
26,The,0,0
28,its,0,0
29,subsidiaries,0,0
30,specialize,0,0
31,in,0,0
32,the,0,0
33,q=uarrying,0,0
34,processing,0,0
35,and,0,0
36,Sales,0,0
38,dimension,0,0
39,stone,0,0
40,slab,0,0
42,tiles,0,0
44,dimen=sion,0,0
46,products,0,0
47,for,0,0
49,building,0,0
50,materials,0,0
51,sector,0,0
53,specialty,0,0
54,markets==2E,0,0
57,operations,0,0
59,based,0,0
61,Xiamen,0,0
62,South,0,0
64,China,0,0
65,which,0,0
66,is,0,0
68,lar=gest,0,0
72,business,0,0
73,portals,0,0
76,where,0,0
77,Wanlistone,0,0
78,owns,0,0
80,=operates,0,0
81,various,0,0
82,natural,0,0
84,deposits,0,0
85,with,0,0
86,"6,000",0,0
87,square,0,0
88,meters,0,0
89,through,0,0
90,th=e,0,0
91,country,0,0
92,In,0,0
93,addition,0,0
96,quarries,0,0
98,has,0,0
99,a,0,0
100,fully,0,0
101,automated,0,0
102,pro=cessing,0,0
103,plant,0,0
109,granite,0,0
111,marble,0,0
114,prod=ucts,0,0
116,supplies,0,0
119,raw,0,0
120,block,0,0
121,form,0,0
125,tile,0,0
126,and=,0,0
127,strips,0,0
129,varying,0,0
131,memorial,0,0
137,=both,0,0
139,local,0,0
140,but,0,0
141,more,0,0
142,specifically,0,0
145,markets,0,0
150,full,0,0
151,rang,0,0
158,including,0,0
159,Pink,0,0
160,color,0,0
161,G636,0,0
162,G617,0,0
163,G635,0,0
164,G663,0,0
165,Yellow,0,0
167,"G682,Dark",0,0
168,G654,0,0
169,Black,0,0
170,G68=,0,0
171,over,0,0
172,SidLet,0,0
173,me,0,0
174,know,0,0
175,Thx.,0,0
176,Dear,0,0
177,"Friend,Greetings",0,0
179,you.I,0,0
180,wish,0,0
182,accost,0,0
186,request,0,0
187,that,0,0
188,would,0,0
189,be,0,0
191,immense,0,0
192,benefit,0,0
194,both,0,0
196,us,0,0
197,Being,0,0
198,an,0,0
199,executor,0,0
201,wills,0,0
202,it,0,0
204,possible,0,0
206,we,0,0
207,may,0,0
209,tempted,0,0
211,make,0,0
212,fortune,0,0
213,out,0,0
215,our,0,0
216,client's,0,0
217,situations,0,0
218,when,0,0
220,cannot,0,0
221,help,0,0
223,or,0,0
224,left,0,0
226,no,0,0
227,better,0,0
228,option,0,0
230,issue,0,0
231,I,0,0
232,am,0,0
233,presenting,0,0
238,case,0,0
240,my,0,0
241,client,0,0
242,who,0,0
243,willed,0,0
247,his,0,0
248,next-of-kin,0,0
249,It,0,0
250,was,0,0
251,most,0,0
252,unfortunate,0,0
254,he,0,0
258,died,0,0
259,on,0,0
261,same,0,0
262,day,0,0
264,31st,0,0
265,October,0,0
266,1999,0,0
269,Egyptian,0,0
270,airline,0,0
271,990,0,0
273,other,0,0
274,passengers,0,0
276,board,0,0
277,You,0,0
278,can,0,0
279,confirm,0,0
280,this,0,0
281,from,0,0
